sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
145;DHT22;3528;-0.286;36.067;2022-11-25T10:23:27.999369+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:23:49.109697+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:23:49.109697+00:00;P1;3
145;DHT22;3528;-0.286;36.067;2022-11-25T10:23:49.172593+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2022-11-25T10:23:49.172593+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:24:28.197062+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:24:28.197062+00:00;P1;10
145;DHT22;3528;-0.286;36.067;2022-11-25T10:24:28.213566+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2022-11-25T10:24:28.213566+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:25:09.532589+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2022-11-25T10:25:09.532589+00:00;P1;7
145;DHT22;3528;-0.286;36.067;2022-11-25T10:25:09.677647+00:00;humidity;69
145;DHT22;3528;-0.286;36.067;2022-11-25T10:25:09.677647+00:00;temperature;31
145;DHT22;3528;-0.286;36.067;2022-11-25T10:26:08.301403+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2022-11-25T10:26:08.301403+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:26:08.304224+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2022-11-25T10:26:08.304224+00:00;P1;21
145;DHT22;3528;-0.286;36.067;2022-11-25T10:26:28.401904+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2022-11-25T10:26:28.401904+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:26:29.901551+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:26:29.901551+00:00;P1;10
144;SDS011;3528;-0.286;36.067;2022-11-25T10:27:08.575382+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2022-11-25T10:27:08.575382+00:00;P1;21
145;DHT22;3528;-0.286;36.067;2022-11-25T10:27:08.583155+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2022-11-25T10:27:08.583155+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:27:49.345524+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:27:49.345524+00:00;P1;3
145;DHT22;3528;-0.286;36.067;2022-11-25T10:27:49.360834+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2022-11-25T10:27:49.360834+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:28:48.097335+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:28:48.097335+00:00;P1;6
145;DHT22;3528;-0.286;36.067;2022-11-25T10:28:48.110226+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2022-11-25T10:28:48.110226+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:29:08.788935+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2022-11-25T10:29:08.788935+00:00;P1;21
144;SDS011;3528;-0.286;36.067;2022-11-25T10:29:48.334091+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:29:48.334091+00:00;P1;6
145;DHT22;3528;-0.286;36.067;2022-11-25T10:29:48.338932+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2022-11-25T10:29:48.338932+00:00;temperature;31
145;DHT22;3528;-0.286;36.067;2022-11-25T10:30:28.624721+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2022-11-25T10:30:28.624721+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:30:30.198141+00:00;P2;2
